schema	result	cpp_type	notes
WebSearchApproximateLocation	DEFERRED	NOT_FOUND	Deferred (on allowlist)
Annotation	PASS	org::openapitools::client::model::Annotation	oneOf, 9 members
ToolCallCaller	PASS	org::openapitools::client::model::ToolCallCaller	oneOf, 2 members
ToolCallCallerParam	PASS	org::openapitools::client::model::ToolCallCallerParam	oneOf, 2 members
Filters	PASS	org::openapitools::client::model::Filters	anyOf, 4 members
FunctionShellCallOutputOutcomeParam	PASS	org::openapitools::client::model::FunctionShellCallOutputOutcomeParam	oneOf, 2 members
ApplyPatchOperationParam	PASS	org::openapitools::client::model::ApplyPatchOperationParam	oneOf, 3 members
ReasoningModeEnum	FAIL	org::openapitools::client::model::ReasoningModeEnum	EMPTY SHELL (anyOf, 0 members)
VideoModel	FAIL	org::openapitools::client::model::VideoModel	EMPTY SHELL (anyOf, 0 members)
PersonalityEnum	FAIL	org::openapitools::client::model::PersonalityEnum	EMPTY SHELL (anyOf, 0 members)
ItemField	PASS	org::openapitools::client::model::ItemField	oneOf, 37 members
ThreadItem	PASS	org::openapitools::client::model::ThreadItem	oneOf, 18 members
BetaToolChoiceParam	PASS	org::openapitools::client::model::BetaToolChoiceParam	oneOf, 5 members
BetaConversationParam	PASS	org::openapitools::client::model::BetaConversationParam	oneOf, 1 members
BetaPersonalityEnum	FAIL	org::openapitools::client::model::BetaPersonalityEnum	EMPTY SHELL (anyOf, 0 members)
BetaReasoningEffort	FAIL	org::openapitools::client::model::BetaReasoningEffort	EMPTY SHELL (anyOf, 0 members)
BetaReasoningModeEnum	FAIL	org::openapitools::client::model::BetaReasoningModeEnum	EMPTY SHELL (anyOf, 0 members)
BetaVerbosity	FAIL	org::openapitools::client::model::BetaVerbosity	EMPTY SHELL (anyOf, 0 members)
BetaTextResponseFormatConfiguration	PASS	org::openapitools::client::model::BetaTextResponseFormatConfiguration	oneOf, 5 members
BetaTool	PASS	org::openapitools::client::model::BetaTool	oneOf, 42 members
BetaWebSearchApproximateLocation	PASS	org::openapitools::client::model::BetaWebSearchApproximateLocation	anyOf, 5 members
BetaFilters	PASS	org::openapitools::client::model::BetaFilters	anyOf, 4 members
BetaInputItem	PASS	org::openapitools::client::model::BetaInputItem	oneOf, 39 members
BetaItem	PASS	org::openapitools::client::model::BetaItem	oneOf, 38 members
BetaToolCallCaller	PASS	org::openapitools::client::model::BetaToolCallCaller	oneOf, 2 members
BetaFunctionAndCustomToolCallOutput	PASS	org::openapitools::client::model::BetaFunctionAndCustomToolCallOutput	oneOf, 9 members
BetaToolCallCallerParam	PASS	org::openapitools::client::model::BetaToolCallCallerParam	oneOf, 2 members
BetaApplyPatchOperationParam	PASS	org::openapitools::client::model::BetaApplyPatchOperationParam	oneOf, 3 members
BetaFunctionShellCallOutputOutcomeParam	PASS	org::openapitools::client::model::BetaFunctionShellCallOutputOutcomeParam	oneOf, 2 members
BetaComputerAction	PASS	org::openapitools::client::model::BetaComputerAction	oneOf, 9 members
BetaVectorStoreFileAttributes	DEFERRED	NOT_FOUND	Deferred (on allowlist)
BetaOutputMessageContent	PASS	org::openapitools::client::model::BetaOutputMessageContent	oneOf, 5 members
BetaAnnotation	PASS	org::openapitools::client::model::BetaAnnotation	oneOf, 9 members
BetaInputContent	PASS	org::openapitools::client::model::BetaInputContent	oneOf, 9 members
BetaModelIdsCompaction	FAIL	org::openapitools::client::model::BetaModelIdsCompaction	EMPTY SHELL (anyOf, 0 members)
BetaModelIdsResponses	FAIL	org::openapitools::client::model::BetaModelIdsResponses	EMPTY SHELL (anyOf, 0 members)
BetaModelIdsShared	FAIL	org::openapitools::client::model::BetaModelIdsShared	EMPTY SHELL (anyOf, 0 members)
BetaItemResource	PASS	org::openapitools::client::model::BetaItemResource	oneOf, 40 members
BetaCustomToolCallOutputResource	PASS	org::openapitools::client::model::BetaCustomToolCallOutputResource	allOf, 8 members
BetaCustomToolCallResource	PASS	org::openapitools::client::model::BetaCustomToolCallResource	allOf, 10 members
BetaFunctionToolCallOutputResource	PASS	org::openapitools::client::model::BetaFunctionToolCallOutputResource	allOf, 8 members
BetaFunctionToolCallResource	PASS	org::openapitools::client::model::BetaFunctionToolCallResource	allOf, 10 members
BetaComputerToolCallOutputResource	PASS	org::openapitools::client::model::BetaComputerToolCallOutputResource	allOf, 8 members
BetaInputMessageResource	PASS	org::openapitools::client::model::BetaInputMessageResource	allOf, 6 members
BetaItemField	PASS	org::openapitools::client::model::BetaItemField	oneOf, 40 members
BetaResponse	PASS	org::openapitools::client::model::BetaResponse	allOf, 35 members
BetaOutputItem	PASS	org::openapitools::client::model::BetaOutputItem	oneOf, 40 members
BetaResponseError	PASS	org::openapitools::client::model::BetaResponseError	anyOf, 2 members
BetaPrompt	PASS	org::openapitools::client::model::BetaPrompt	anyOf, 3 members
BetaResponsePromptVariables	DEFERRED	NOT_FOUND	Deferred (on allowlist)
BetaServiceTier	FAIL	org::openapitools::client::model::BetaServiceTier	EMPTY SHELL (anyOf, 0 members)
BetaMetadata	DEFERRED	NOT_FOUND	Deferred (on allowlist)
BetaOutputContent	PASS	org::openapitools::client::model::BetaOutputContent	oneOf, 5 members
BetaInputParam	FAIL	org::openapitools::client::model::BetaInputParam	EMPTY SHELL (oneOf, 0 members)
BetaContent	PASS	org::openapitools::client::model::BetaContent	oneOf, 12 members
BetaResponsesServerEvent	PASS	org::openapitools::client::model::BetaResponsesServerEvent	anyOf, 28 members
BetaResponseStreamEvent	PASS	org::openapitools::client::model::BetaResponseStreamEvent	anyOf, 25 members
BetaResponsesClientEvent	PASS	org::openapitools::client::model::BetaResponsesClientEvent	anyOf, 34 members
BetaResponsesClientEventResponseCreate	PASS	org::openapitools::client::model::BetaResponsesClientEventResponseCreate	allOf, 33 members
BetaCreateResponse	PASS	org::openapitools::client::model::BetaCreateResponse	allOf, 32 members
BetaResponseStreamOptions	PASS	org::openapitools::client::model::BetaResponseStreamOptions	anyOf, 1 members
BetaCreateModelResponseProperties	PASS	org::openapitools::client::model::BetaCreateModelResponseProperties	allOf, 10 members
